Model,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest,0.8704782714251031,0.9520487405066276,0.46285408872260825,0.9331896551724138,0.6187924258663808,0.6004562959226231
Logistic Regression,0.8651371692158291,0.9438377105052126,0.4512,0.9116379310344828,0.6036389582590082,0.5812771748717518
Decision Tree,0.8641660597232338,0.9174113460540593,0.4477856752323674,0.8825431034482759,0.5941240478781284,0.5662695019965195
kNN,0.9085943190094683,0.9215346979810368,0.6605504587155964,0.3879310344827586,0.48879837067209775,0.4612561710385384
Gaussian Naive Bayes,0.8203447438698713,0.8393286534742205,0.3495092693565976,0.6907327586206896,0.46415640839971034,0.400918301572476
